filename,algo,sim,threshold,exe,pairs,lookups,indexEntriesSeen,candidatesP1,candidatesVerify,verifyTrueSteps,verifyTrueSetSizeSum,verifyTrueSetSizeCnt,verifyFalseSteps,verifyFalseSetSizeSum,verifyFalseSetSizeCnt,verifyLoop0True,verifyLoop0False,readrawrecords,algoindex,algojoin,readrawforeignrecords,adaptjoinlastext0,adaptjoinlastext1,adaptjoinlastext2,adaptjoinlastext3,adaptjoinlastext4,adaptjoinlastext5,adaptjoinlastext6,adaptjoinlastext7,adaptjoinlastext8,adaptjoinlastext9,adaptjoinlastext10,adaptjoinlastext11,adaptjoinlastext12,adaptjoinlastext13,adaptjoinlastext14,adaptjoinlastext15,adaptjoinlastext16,adaptjoinlastext17,adaptjoinlastext18,adaptjoinlastext19,adaptjoinlastext20
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.6,set_sim_join_ext_stat,152411294,1773220,2493000768,1558127074,1558127074,278315697,1467563550,304822588,2410191950,14895523713,2811431560,5667546,,3424,1244,181552,460,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.95,set_sim_join_ext_stat,3761447,1006832,306133406,184623115,184623115,2870246,26181972,7522894,278722095,1668294134,361723336,2624904,24,3404,1044,9296,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.95,set_sim_join_ext_stat,3761447,4994613,1835318879,306132277,8691841,1664557,3646305,706858,14499661,45323299,9860788,,,3344,1524,30660,424,489538,478607,34777,2114,293,54,18,17,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.8,set_sim_join_candonly,0,,,,,,,,,,,,,3468,1072,26504,336,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.95,set_sim_join_candonly,0,,,,,,,,,,,,,3472,1072,11220,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.75,set_sim_join_nostat,12736613,,,,,,,,,,,,,3396,1008,48192,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.8,set_sim_join_ext_stat,4806011,5912747,2957838191,551344825,15117545,6306385,15364070,2366702,33799366,112087856,20623068,,,3472,1404,50248,324,456392,485329,59110,3932,428,103,42,82,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.95,set_sim_join_ext_stat,3761447,1006832,306133406,306132277,306132277,5126247,26181972,7522894,781123090,2610784854,604741660,2624904,,3268,860,12740,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin,containment,0.8,set_sim_join_nostat,4806011,,,,,,,,,,,,,3352,1020,20512,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,PPjoin+,containment,0.6,set_sim_join_nostat,152411294,,,,,,,,,,,,,3360,1156,234692,508,,,,,,,,,,,,,,,,,,,,,
